Value,Category,Synthetic_data
"Переходник — байонет, с фильтром",набор деталей,True
трубопровод от подкачивающего насоса к фильтру,другая деталь,True
 труба от насоса к фильтру,другая деталь,True
 шланг от насоса к фильтру,другая деталь,True
 трубка от насоса к фильтру,другая деталь,True
 линия от насоса к фильтру,другая деталь,True
 трасса от насоса к фильтру,другая деталь,True
 система от насоса к фильтру,другая деталь,True
 магистраль от насоса к фильтру,другая деталь,True
 канал от насоса к фильтру,другая деталь,True
 проводка от насоса к фильтру,другая деталь,True
 Воздушный фильтр с вакуумным приводом и заслонкой,набор деталей,True
 масляный фильтр с картонным элементом,набор деталей,True
 фильтр с штуцером масляного радиатора,набор деталей,True
 масляный фильтр с корпусом и маслоохладителем,набор деталей,True
 фильтр воздушный с креплением,набор деталей,True
 Масляный фильтр для АКПП в комплекте с прокладкой,набор деталей,True
 фильтр трансмиссии с крышкой и уплотнением,набор деталей,True
 фильтр для топлива с колбой.,набор деталей,True
Масляный фильтр с фланцем и радиатором,набор деталей,True
 Масляный фильтр с фланцем и охладителем,набор деталей,True
Сажевый фильтр с нейтрализатором,набор деталей,True
 сажевый фильтр с катализатором,набор деталей,True
Масляный фильтр с фланцем,набор деталей,True
 масляный фильтр с фланцевым соединением,набор деталей,True
 фильтр с прокладкой,набор деталей,True
 фильтр автоматической коробки передач с прокладкой,набор деталей,True
 масляный фильтр в сборе с уплотнением,набор деталей,True
Салонный угольный фильтр с кондиционером,набор деталей,True
 фильтрующая сетка с поплавковым устройством,набор деталей,True
фильтр салона угольный,набор деталей,True
" фильтр для салона автомобиля, 2 штуки",набор деталей,True
Комплект внутренних фильтров очистки воздуха,набор деталей,True
 набор фильтров для кондиционера.,набор деталей,True
Провод с фильтром помех,набор деталей,True
 фильтр помех в комплекте с проводом.,набор деталей,True
 набор элементов масляного фильтра с колпачком,набор деталей,True
Комплект фильтра салона,набор деталей,True
 Набор фильтра салона,набор деталей,True
 фильтрующий набор,набор деталей,True
Комплект фильтров,набор деталей,True
 фильтрующие элементы,набор деталей,True
Комплект фильтра,набор деталей,True
 набор элементов и прокладки масляного фильтра,набор деталей,True
Набор сменных фильтров,набор деталей,True
 Комплект фильтров для замены,набор деталей,True
 набор элементов масляного фильтра,набор деталей,True
Комплект фильтра-воздушного,набор деталей,True
 набор фильтра воздушного,набор деталей,True
Комплект фильтрации масла,набор деталей,True
 набор масляных фильтров.,набор деталей,True
 элемент фильтрации масляный набор,набор деталей,True
Комплект фильтров АКПП,набор деталей,True
 Набор фильтров для АКПП,набор деталей,True
Ремкомплект фильтра автоматической коробки передач,набор деталей,True
 Набор деталей для ремонта фильтра АКПП,набор деталей,True
Ремкомплект фильтра,набор деталей,True
 Набор для ремонта фильтра,набор деталей,True
комплект фильтра салона,набор деталей,True
 набор салонного фильтра,набор деталей,True
комплект деталей для монтажа сажевого фильтра,набор деталей,True
 набор деталей для установки сажевого фильтра,набор деталей,True
Комплект фильтра топлива (вставка),набор деталей,True
 Набор фильтра для топлива (вставка),набор деталей,True
 Комплект для замены поддона АКПП с фильтром BMW/CHRYSLER/JAGUAR/LAND ROVER,набор деталей,True
 набор фильтров,набор деталей,True
 комплект фильтров для воздуха,набор деталей,True
Комплект фильтров для технического обслуживания,набор деталей,True
 Набор фильтров для ТО,набор деталей,True
Набор фильтров,набор деталей,True
 комплект воздушного фильтра,набор деталей,True
Ремонтный комплект фильтра масляного,набор деталей,True
 Набор для ремонта масляного фильтра,набор деталей,True
